Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,Question Number,Question Name,Area affected by climate change,Health-related risk and vulnerability assessment undertaken,Identify the climate hazards most significantly impacting the selected areas,Identify the climate-related health issues faced by your city,Timescale of climate-related issues for the selected health area,Please identify which vulnerable populations are affected by these climate-related impacts,Please explain
Cities 2021,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",No,Extreme Precipitation > Rain storm,"Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),Children and youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Women,"O município de Sumaré apresenta histórico de enchentes e casos de leptospirose, principalmente no período de grande chuva típico do verão. O risco à saúde não está limitado a moradores de áreas de risco, como várzeas e APPs, mas também os moradores de antigos núcleos urbanos regularizados, por conta da sua composição geográfica suscetível a alagamentos. Sumaré ainda sofre anualmente de grande caso de doenças acometidas pelo mosquito Aedes aegypti (dengue, zika, chikungunya e febre amarela). Enchentes e chuvas fortes também carream materiais para os córregos e rios, aumentando sua poluição. Visto que quase metade da área de Sumaré é composta por zona rural, preocupa a entrada de fertilizantes e agrotóxicos nos corpos d'água, ainda mais que parte deles é fonte de abastecimento público."
Cities 2021,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Extreme hot temperature > Extreme hot days,Heat-related illnesses,Long-term (after 2050),Elderly; Persons living in sub-standard housing; Persons with pre-existing medical conditions,"Em seu histórico, a cidade de Sumaré já apresentou sensação térmica maior de 40 graus celsius. A urbanização e baixo índice de arborização contribui para novos recordes anuais. Sabemos que calor extremo oferece riscos à saúde da população mais sensível, principalmente os idosos, podendo levá-los à óbito."
Cities 2021,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,3,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health systems (service provision, infrastructure and technologies)",No,Storm and wind > Tornado,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Food & Nutrition Security; Lack of climate-informed surveillance, preparedness, early warning and response; Overwhelming of health service provision due to increased demand",Current,"Other, please specify: Todos","Em 2001, um tornado atingiu a região metropolitana de Campinas sendo Sumaré a cidade mais afetada na ocasião. Ventos de mais de 134 km/h atingiram a região, destruindo casas e comércios, arrancando 100 árvores e vitimando um homem e deixando uma menina gravemente ferida. Além disso, por mais de 4 horas o município inteiro ficou sem abastecimento de luz e água. Casos como esse poderão ocorrer com mais frequência no futuro com o agravamento das mudanças climáticas."
Cities 2021,54706,Prefeitura Municipal de Boa Vista,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55159,City of Iwanuma,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55161,City of Iida,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55164,City of Toyota,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55164,City of Toyota,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55165,City of Ikoma,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,,,,,,
Cities 2021,55166,City of Tsukuba,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55169,City of Miyakojima,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55180,City of Shizuoka,Japan,East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55324,Município de Guimarães,Portugal,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Heat wave,Heat-related illnesses,Current,"Children and youth; Elderly; Other, please specify: Grávidas e obesos; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions","Será espectável para Guimarães a subida da temperatura média anual, com um aumento acentuado das temperaturas máximas e, por conseguinte, um aumento do número de dias com temperaturas muito altas – superiores a 35ºC –de noites tropicais e de temperaturas mínimas superiores a 20ºC. O número de ondas de calor também será mais frequente e intenso.Com esse pressuposto e atendendo aos efeitos previsíveis que estas alterações climáticas acarretarão para a saúde humana, é imperativa a necessidade de intervir antecipadamente na preparação dos mecanismos humanos e materiais tendentes a atenuar estes efeitos na saúde da população em geral e, especificamente, na dos grupos mais vulneráveis."
Cities 2021,55324,Município de Guimarães,Portugal,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Wild fire > Forest fire,"Air-pollution related illnesses; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses",Current,"Elderly; Other, please specify: Grávidas; Outdoor workers; Persons with pre-existing medical conditions","A quantidade de poluentes emitidos e a sua toxicidade, a extensão e duração da exposição, a dispersão dos poluentes para longas distâncias, a idade do indivíduo, as suscetibilidades individuais e outros fatores podem ser determinantes para que uma pessoa desenvolva a curto ou a longo prazo problemas de saúde relacionados com o fumo proveniente dos incêndios.Assim, os  hospitais, centros de saúde, escolas, infantários, lares de idosos e centros de dia, devem ter à disposição quartos preparados com sistemas de ar condicionado, tendo em atenção a eficácia dos filtros para remoção das partículas."
Cities 2021,55325,Município de Águeda,Portugal,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Chemical change > Atmospheric CO2 concentrations; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Storm and wind > Severe wind,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Overwhelming of health service provision due to increased demand; Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Medium-term (2026-2050),Children and youth; Elderly; Persons with pre-existing medical conditions,"Os efeitos esperados na saúde humana encontram-se relacionados com os fatores de alteração da distribuição geográfica e taxas de incidência de determinadas doenças e alterações na qualidade de vida das populações.Entre os fatores que podem afetar a saúde humana destacam-se os fenómenos meteorológicos extremos, associados a um efeito de degradação da qualidade do ar que se tornam preocupantes para uma população que se caracteriza por um nível elevado de envelhecimento.Os impactes da mudança climática podem ser revelados através do potencial aumento de mortes associadas ao calor intenso, potencial aumento de doenças transmitidas pela água e alimentos, potencial aumento de problemas de saúde relacionados com a poluição do ar, aumento de problemas do foro cardiorrespiratório, infeções respiratórias, cancro da pele, cataratas e cegueira.De acordo com os possíveis impactes adversos à saúde, algumas medidas de adaptação podem ser implementadas, nomeadamente:▪ melhoria das infraestruturas públicas de saúde, o que contribui para a redução da vulnerabilidade das populações;▪ melhoria dos sistemas de gestão de água e resíduos;▪ melhoria de medidas de controlo de poluição atmosférica;▪ melhoria de programas de monitorização e vigilância de vetores e agentes patogénicos."
Cities 2021,55334,Município de Braga,Portugal,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Heat wave,Heat-related illnesses; Overwhelming of health service provision due to increased demand,Current,Elderly,"Os principais impactos climáticos futuros para Braga estão relacionados com as temperaturas elevadas e ondas de calor. Projeta-se que até ao final do século XXI estes impactos vão aumentando tanto em frequência como em magnitude da consequência. As ondas de calor sentidas no últimos anos tem provocado um aumento das solicitações de urgências principalmente nos grupos mais vulneráveis, particularmente nos idosos. A resposta a esta problemática tem sido dada sob dois níveis: reativa e passivo. A resposta reativa tem sido dada por vida dos sistemas de apoio à saúde e proteção dos cidadãos e em linha às solicitações por parte destes. A resposta passiva tem sido dada pelo planeamento e implementação de projeto que permita diminuir o efeito deste impacto. Descreve-se alguns exemplos: - Ações decorrentes da Estratégia de Adaptação às Alterações Climáticas, como por exemplo o Programa de arborização da cidade de modo a diminuir o efeito das ilhas de calor; - Ações decorrentes do Plano para o Desenvolvimento Social 2021, como por exemplo a criação do Gabinete de Apoio ao Idoso (GAI) que promove o atendimento e o acompanhamento individualizado de idosos em situação de vulnerabilidade social e ambiental;- Ações decorrentes do Sistema de Proteção e Segurança, como por exemplo a criação de alertas em função das alterações meteorológicas (ondas de calor) que o territória tem vindo a sofrer.;- recente criação do REDMAY do Município de Braga que resulta em acções gratuitas que proporcionam serviços sociais (atendimento social, mediação com os serviços/respostas sociais), de enfermagem (aconselhamento e rastreios), de neuropsicologia (avaliação e estimulação cognitiva) e de psicomotricidade (estimulação funcional)."
Cities 2021,55372,Prefeitura Municipal de Canoas,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",Yes,,Air-pollution related illnesses,Short-term (by 2025),Children and youth; Elderly; Marginalized groups; Outdoor workers; Women,"OS POLUENTES ATMOSFÉRICOS GERADOS PELAS INDÚSTRIAS, COM DESTAQUE PARA A USINA DE REFINO DE PETRÓLEO,  E PELO TRANSPORTE CAUSAM DOENÇAS RESPIRATÓRIAS NA POPULAÇÃO EM GERAL."
Cities 2021,55379,Santa Fé Ciudad,Argentina,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,55415,"City of Columbia, SC",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,"Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses",Current,Elderly; Low-income households; Outdoor workers; Persons living in sub-standard housing,"The heat is physically hard on our elderly and outdoor workers. Our 29203 zip code leads the nation in diabetic-related amputations, and is hit particularly hard due to their vulnerability. Low-income households and those living in sub-standard housing also suffer financially as a result of high power bills, often being forced to forgo other important items to keep the power from being turned off completely."
Cities 2021,55801,"City of West Palm Beach, FL",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme Precipitation > Rain storm,Heat-related illnesses,Short-term (by 2025),Elderly; Low-income households,"West Palm Beach's Resiliency Assessment identified areas of vulnerability, among both social aspects and the critical facilities. Overall, rainfall-induced flooding is the largest threat to the City's overall assets. The City's Resiliency Assessment showed that one-third of our critical health facilities are vulnerable to rainfall induced-flooding, which could impact the accessibility to hospitals and other health centers to citizens that needed emergency care. Roadways could also be flooded, further impacting travel to critical facilities. Additionally, heat impacts were shown to be more prevalent among low-income households and adults over 65 years of age. There are other climate hazards that can affect human health, such as wildfires, algal blooms, and storm surge, for example, but the risks were much lower than the risk of flooding and extreme heat."
Cities 2021,56276,New Taipei City Government,"Taiwan, Greater China",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Extreme hot days,Heat-related illnesses,Short-term (by 2025),Children and youth; Elderly; Factory workers; Low-income households; Outdoor workers; Women,"The groups which are easily to be influenced by high temperature distribute in different areas, races and ages. Including children, elderly, outdoor labour (i.e. farmer, land worker, courier), low income household, homeless, patients, the patients who has abnormal temperature regulation due to medication, institutional residents (i.e. nursing home, social welfare agency) belong to high risk groups. In addition, the humidity reinforces the impact and made the impact in urban area of New Taipei City greater than country areas due to urban heat island effect."
Cities 2021,56276,New Taipei City Government,"Taiwan, Greater China",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Biological hazards > Insect infestation,"Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Short-term (by 2025),"Children and youth; Elderly; Low-income households; Other, please specify: people live in the environmental hydrops locations; Outdoor workers; Women","According to the statistics of the Taiwan Centers for Disease Control, as of December 2020, there are currently 73 local cases of dengue fever, and 50 of them live in New Taipei City. New Taipei City accounts for approximately 68% of the total number of confirmed cases.https://www.cdc.gov.tw/Bulletin/Detail/kOA9MkdYzk7W6rWikQFRyg?typeid=9"
Cities 2021,57347,Pingtung County Government,"Taiwan, Greater China",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Storm and wind > Cyclone (Hurricane / Typhoon),"Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Children and youth; Elderly; Persons living in sub-standard housing; Persons with pre-existing medical conditions,"Pingtung County is located in the subtropical area, a slightly hot and humid environment where is suitable for mosquitos. Dengue fever was an endemic pandemic in the past, but it has been three years without any local cases. The government started strengthening the health education has been started for the public and cooperated with ''National Mosquito-Borne Diseases Control Research Center'' to do the vector density survey. using the ""dengue fever epidemic prevention platform"" to integrate epidemic information effectively. By making a series of processes such as ''actively inspecting the home, community and work surroundings, inverting unused containers, removing waste containers and scrubbing the inner walls of the containers to remove insect eggs, etc. These successful actions will be implemented and developed continually in the future.The government cooperated with 33 towns established the county's dengue fever prevention and disinfection team to disinfect the environment, including transport stations, commercial places, crowds hot spots, schools, parks, etc. 12,000 times disinfection in 2020 to protect the homeland."
Cities 2021,57347,Pingtung County Government,"Taiwan, Greater China",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",No,Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Mass movement > Landslide; Storm and wind > Cyclone (Hurricane / Typhoon),"Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services",Current,Children and youth; Elderly; Indigenous populations; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities,"Unequal medical access has always been a problem in Pingtung. Patients have to travel very long for medical treatment. Not only waste their time and may lose their lives due to delayed treatment. Therefore, the government has continued to improve local medical services of software and hardware such as transportation and buildings to protect the health care for residents.1. Improve transportation in rural areasThe government purchased 10 vehicles for the handicapped to serve the residents. Start from December 2020, it has served a total of 372 times.2. Strengthen the regional medical serviceLiuqiu Island is the only island in Pingtung County; thus, the circumstance of isolation is likely to occur, resulting in a lack of resources, especially on health and medical care. To enclose the distance on the health and medical care sector and benefit the local residence, the Pingtung County government cooperated with Antai Tian-Sheng Memorial Hospital via Skype to develop telemedicine to prevent the isolation caused by climate disaster. Moreover, a new ambulance ship, Cihanglun, has been implemented in saving local people and tour life during the extreme climate condition."
Cities 2021,57505,Alcaldía de Panamá,Panama,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,,,,,,
Cities 2021,57509,Prefeitura de Niterói,Brazil,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Mass movement > Landslide,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Short-term (by 2025),Children and youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"Por Niterói ser uma cidade costeira, os impactos das mudanças climáticas no sistema de saúde municipal podem ser significativos. A elevação do nível do mar e constantes alagamentos na cidade provocados pelo aumento no número de tempestades podem causar avarias nas estruturas físicas dos hospitais e clínicas. Além disso, o aumento na demanda da população por serviços públicos de saúde por conta do aumento de doenças transmissíveis causadas por alagamentos e proliferação de mosquitos, e por frustações  na renda do cidadão, pelos impactos que esses eventos extremos tem no emprego  no comércio, o que dificulta o acesso a serviços privados."
Cities 2021,57616,"City of Lake Forest, IL",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,57877,Playa del Carmen,Mexico,Latin America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,58323,Subotica,Serbia,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,58357,"City of West Hollywood, CA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Wild fire > Forest fire,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Heat-related illnesses",Current,Children and youth; Elderly; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons with disabilities; Persons with pre-existing medical conditions,"West Hollywood’s exposure to specific climate hazards is expected to increase, including heat waves, warmer nights, and more intense rain events locally, as well as wildfires and drought regionally. The occurrence, severity, and duration of these hazards amplify the public health impacts, particularly and disproportionately on vulnerable populations, and can threaten critical infrastructure such as the electrical grid. Understanding the City’s social and structural vulnerability to these hazards serve as a crucial tool for determining areas of priority during CAAP implementation."
Cities 2021,58391,Maribyrnong City Council,Australia,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,,,,,,
Cities 2021,58483,"City of Surrey, BC",Canada,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme Precipitation > Monsoon; Flood and sea level rise > Coastal flood; Flood and sea level rise > River flood; Storm and wind > Lightning / thunderstorm,"Direct physical injuries and deaths due to extreme weather events; Disruption to water, sanitation and wastewater services; Food & Nutrition Security; Heat-related illnesses; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),Children and youth; Elderly; Indigenous populations; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions,"To this end, the City of Surrey has a number of policies and initiatives in place to not only support our most vulnerable populations, but create a more inclusive, resilient and vibrant City for everyone. These include:• Plan for the Social Well-Being of Surrey Residents(Social Plan)• Poverty Reduction Plan• Child and Youth Friendly City Strategy• Master Plan for Housing the Homeless• Crime Reduction Strategy• Learning for Life StrategyThe City works with a diverse set of community groups, non-profit organizations, government agencies and service providers to continually improve the health and safety of Surrey residents."
Cities 2021,58485,"Abington Township, PA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,58489,Høje-Taastrup Kommune,Denmark,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,58513,"City of Medford, MA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Biological hazards > Air-borne disease; Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Extreme cold temperature > Cold wave; Extreme cold temperature > Extreme cold days; Extreme cold temperature > Extreme winter conditions; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Heavy snow; Extreme Precipitation > Rain storm; Flood and sea level rise > Coastal flood; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > Groundwater flood; Flood and sea level rise > River flood; Storm and wind > Storm surge,"Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses; Mental health impacts; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Short-term (by 2025),Children and youth; Elderly; Indigenous populations; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"Climate change and extreme weather conditions may put pressure on the city's electric power supplies and transportation systems.  Hot weather conditions may cause or worsen existing health conditions like heat stroke, asthma etc. especially among vulnerable population groups.  increase in public health issues and burden on the electric and transportation infrastructure may hamper smooth operations of medical facilities."
Cities 2021,58621,"Town of Blacksburg, VA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,58531,"City of Somerville, MA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",No,,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,Children and youth; Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons,
Cities 2021,58543,Byron Shire Council,Australia,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes",Yes,Biological hazards > Vector-borne disease; Extreme hot temperature > Extreme hot days,"Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),Children and youth; Elderly; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions,"Mosquito vector-borne infectious diseases are moving further south into Byron Shire, and are also becoming more common. Extreme heat impacts affect vulnerable populations such as the elderly and outdoor workers."
Cities 2021,58543,Byron Shire Council,Australia,Southeast Asia and Oceania,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Storm and wind > Cyclone (Hurricane / Typhoon); Wild fire > Forest fire,Direct physical injuries and deaths due to extreme weather events; Mental health impacts,Current,"Other, please specify: Homeless people; Persons living in sub-standard housing",Byron Shire has a large homeless population and not enough facilities to house and/or care for these people in extreme weather situations.
Cities 2021,58564,Chiayi City Government,"Taiwan, Greater China",East Asia,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
